"Response","Predictor","VIF"
"SRL","RTD",1.21554176509417
"SRL","Avg_Diameter",1.34235617461352
"SRL","Fine_to_Coarse",1.24115677599659
"SRL","C_root_percent",1.21818471242303
"SRL","N__root_percent",1.24158312207989
"RTD","SRL",1.75410003970038
"RTD","Avg_Diameter",1.68424635455145
"RTD","Fine_to_Coarse",1.2216015447614
"RTD","C_root_percent",1.21405863321986
"RTD","N__root_percent",1.29741825197907
"Avg_Diameter","SRL",2.28866317483379
"Avg_Diameter","RTD",1.98991836449944
"Avg_Diameter","Fine_to_Coarse",1.28665197159929
"Avg_Diameter","C_root_percent",1.21454133850549
"Avg_Diameter","N__root_percent",1.3031879547194
"Fine_to_Coarse","SRL",6.64565118526845
"Fine_to_Coarse","RTD",4.53268981575089
"Fine_to_Coarse","Avg_Diameter",4.04071177031891
"Fine_to_Coarse","C_root_percent",1.13668974536389
"Fine_to_Coarse","N__root_percent",1.29733297750088
"C_root_percent","SRL",6.846800720124
"C_root_percent","RTD",4.72856900652926
"C_root_percent","Avg_Diameter",4.00380324180793
"C_root_percent","Fine_to_Coarse",1.19317895520421
"C_root_percent","N__root_percent",1.26848540377527
"N__root_percent","SRL",6.56184417906479
"N__root_percent","RTD",4.75166312603103
"N__root_percent","Avg_Diameter",4.03964362136414
"N__root_percent","Fine_to_Coarse",1.28053269328814
"N__root_percent","C_root_percent",1.19278191190653
